19/11/23,G54,harvest,109
19/11/23,F85,harvest,784
19/11/23,F59,harvest,188
19/11/23,F83,harvest,324
20/11/23,F12,harvest,296
20/11/23,F83,harvest,212
20/11/23,G48,harvest,88
20/11/23,F145,species,PTc
20/11/23,F145,blockdate,17/11/23
20/11/23,F145,formula,Pnx5.5
20/11/23,F145,spawncode,#FAAQBA
20/11/23,F145,spawn,1/8
20/11/23,F146,species,PTc
20/11/23,F146,blockdate,17/11/23
20/11/23,F146,formula,Beechx6 2600h2o
20/11/23,F146,spawncode,#FAAQBA
20/11/23,F146,spawn,1/8
20/11/23,F152,species,PTc
20/11/23,F152,blockdate,17/11/23
20/11/23,F152,formula,Beechx6 2600h2o
20/11/23,F152,spawncode,#FAAQBA
20/11/23,F152,spawn,1/8
20/11/23,F146,species,PTc
20/11/23,F146,blockdate,17/11/23
20/11/23,F146,formula,Pnx5.5
20/11/23,F146,spawncode,#FAAQBA
20/11/23,F146,spawn,1/8
20/11/23,F147,species,PTc
20/11/23,F147,blockdate,17/11/23
20/11/23,F147,formula,Pnx5.5
20/11/23,F147,spawncode,#FAAQBA
20/11/23,F147,spawn,1/8
20/11/23,F148,species,PTc
20/11/23,F148,blockdate,17/11/23
20/11/23,F148,formula,Pnx5.5
20/11/23,F148,spawncode,#FAAQBA
20/11/23,F148,spawn,1/8
20/11/23,F149,species,PTc
20/11/23,F149,blockdate,17/11/23
20/11/23,F149,formula,Pnx5.5
20/11/23,F149,spawncode,#FAAQBA
20/11/23,F149,spawn,1/8
20/11/23,F150,species,PTc
20/11/23,F150,blockdate,17/11/23
20/11/23,F150,formula,Pnx5.5
20/11/23,F150,spawncode,#FAAQBA
20/11/23,F150,spawn,1/8
20/11/23,F151,species,PTc
20/11/23,F151,blockdate,17/11/23
20/11/23,F151,formula,Pnx5.5
20/11/23,F151,spawncode,#FAAQBA
20/11/23,F151,spawn,1/8
20/11/23,F153,species,HUlcb
20/11/23,F153,blockdate,17/11/23
20/11/23,F153,formula,Beechx6 2600h2o
20/11/23,F153,spawncode,NG! #X2B-DBA
20/11/23,F153,spawn,1/8
20/11/23,F160,species,HUlcb
20/11/23,F160,blockdate,17/11/23
20/11/23,F160,formula,Beechx6 2600h2o
20/11/23,F160,spawncode,NG! #X2B-DBA
20/11/23,F160,spawn,1/8
20/11/23,F154,species,HUlcb
20/11/23,F154,blockdate,17/11/23
20/11/23,F154,formula,Pnx5.5
20/11/23,F154,spawncode,NG! #X2B-DBA
20/11/23,F154,spawn,1/8
20/11/23,F155,species,HUlcb
20/11/23,F155,blockdate,17/11/23
20/11/23,F155,formula,Pnx5.5
20/11/23,F155,spawncode,NG! #X2B-DBA
20/11/23,F155,spawn,1/8
20/11/23,F156,species,HUlcb
20/11/23,F156,blockdate,17/11/23
20/11/23,F156,formula,Pnx5.5
20/11/23,F156,spawncode,NG! #X2B-DBA
20/11/23,F156,spawn,1/8
20/11/23,F157,species,HUlcb
20/11/23,F157,blockdate,17/11/23
20/11/23,F157,formula,Pnx5.5
20/11/23,F157,spawncode,NG! #X2B-DBA
20/11/23,F157,spawn,1/8
20/11/23,F158,species,HUlcb
20/11/23,F158,blockdate,17/11/23
20/11/23,F158,formula,Pnx5.5
20/11/23,F158,spawncode,NG! #X2B-DBA
20/11/23,F158,spawn,1/8
20/11/23,F159,species,HUlcb
20/11/23,F159,blockdate,17/11/23
20/11/23,F159,formula,Pnx5.5
